subject,domain,chapter_code,chapter_name,active,skill_count,subskill_count,content_count,official_question_count,coverage_status
SVT,SVT — programme 3e,CELLULE,Cellule,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,ADN_ET_GENETIQUE,ADN et génétique,True,1,0,30,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,REPRODUCTION,Reproduction,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,EVOLUTION,Évolution,True,1,0,30,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,IMMUNITE,Immunité,True,1,0,33,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,NUTRITION_ET_DIGESTION,Nutrition et digestion,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,RESPIRATION_ET_CIRCULATION,Respiration et circulation,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,ECOSYSTEMES,Écosystèmes,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,CLIMAT,Climat,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
SVT,SVT — programme 3e,GEOLOGIE,Géologie,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
TECHNOLOGY,Technologie — programme 3e,OBJETS_TECHNIQUES,Objets techniques,True,1,0,22,0,NO_OFFICIAL_ARCHIVE
TECHNOLOGY,Technologie — programme 3e,CHAINE_D_ENERGIE,Chaîne d'énergie,True,1,0,22,0,NO_OFFICIAL_ARCHIVE
TECHNOLOGY,Technologie — programme 3e,CHAINE_D_INFORMATION,Chaîne d'information,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
TECHNOLOGY,Technologie — programme 3e,PROGRAMMATION,Programmation,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
TECHNOLOGY,Technologie — programme 3e,RESEAUX,Réseaux,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
TECHNOLOGY,Technologie — programme 3e,DEVELOPPEMENT_DURABLE,Développement durable,True,1,0,20,0,NO_OFFICIAL_ARCHIVE
