content_id,skill_id,chapter_id,subject,family,difficulty_bucket,source_type
3330,90,83,FRENCH,OFFICIAL_ARCHIVE,Moyen,LEGACY_BANK
3331,90,83,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3332,90,83,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3333,90,83,FRENCH,AUTOMATISM,Facile,LEGACY_BANK
3334,90,83,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3335,90,83,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3336,90,83,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3337,90,83,FRENCH,PROBLEM_SOLVING,Facile,LEGACY_BANK
3338,90,83,FRENCH,DOCUMENT_ANALYSIS,Moyen,LEGACY_BANK
3339,90,83,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3340,90,83,FRENCH,REASONING,Difficile,LEGACY_BANK
3341,90,83,FRENCH,BREVET_STYLE,Facile,LEGACY_BANK
3342,90,83,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3343,90,83,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3344,90,83,FRENCH,PROBLEM_SOLVING,Facile,LEGACY_BANK
3345,90,83,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3376,91,83,FRENCH,DIRECT_APPLICATION,Moyen,LEGACY_BANK
3377,91,83,FRENCH,PROBLEM_SOLVING,Difficile,LEGACY_BANK
3378,91,83,FRENCH,DOCUMENT_ANALYSIS,Facile,LEGACY_BANK
3379,91,83,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3380,91,83,FRENCH,REASONING,Difficile,LEGACY_BANK
3381,91,83,FRENCH,BREVET_STYLE,Difficile,LEGACY_BANK
3382,91,83,FRENCH,PROBLEM_SOLVING,Difficile,LEGACY_BANK
3383,91,83,FRENCH,JUSTIFICATION,Moyen,LEGACY_BANK
3384,91,83,FRENCH,OFFICIAL_ARCHIVE,Facile,LEGACY_BANK
3385,91,83,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3386,91,83,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3387,91,83,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3388,91,83,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3389,91,83,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3360,91,83,FRENCH,REMEDIATION,Moyen,LEGACY_BANK
3361,91,83,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3362,91,83,FRENCH,AUTOMATISM,Difficile,LEGACY_BANK
3363,91,83,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3364,91,83,FRENCH,DIRECT_APPLICATION,Moyen,LEGACY_BANK
3365,91,83,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3366,91,83,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3367,91,83,FRENCH,DOCUMENT_ANALYSIS,Facile,LEGACY_BANK
3368,91,83,FRENCH,JUSTIFICATION,Moyen,LEGACY_BANK
3369,91,83,FRENCH,REASONING,Difficile,LEGACY_BANK
3370,91,83,FRENCH,BREVET_STYLE,Difficile,LEGACY_BANK
3371,91,83,FRENCH,OFFICIAL_ARCHIVE,Facile,LEGACY_BANK
3372,91,83,FRENCH,REMEDIATION,Moyen,LEGACY_BANK
3373,91,83,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3374,91,83,FRENCH,AUTOMATISM,Difficile,LEGACY_BANK
3375,91,83,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3390,92,84,FRENCH,TRANSFER,Moyen,LEGACY_BANK
3391,92,84,FRENCH,AUTOMATISM,Difficile,LEGACY_BANK
3392,92,84,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3393,92,84,FRENCH,DIRECT_APPLICATION,Facile,LEGACY_BANK
3394,92,84,FRENCH,MULTI_STEP,Moyen,LEGACY_BANK
3395,92,84,FRENCH,PROBLEM_SOLVING,Difficile,LEGACY_BANK
3396,92,84,FRENCH,JUSTIFICATION,Facile,LEGACY_BANK
3397,92,84,FRENCH,REASONING,Moyen,LEGACY_BANK
3398,92,84,FRENCH,BREVET_STYLE,Difficile,LEGACY_BANK
3399,92,84,FRENCH,OFFICIAL_ARCHIVE,Difficile,LEGACY_BANK
3410,93,84,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3411,93,84,FRENCH,TRANSFER,Facile,LEGACY_BANK
3412,93,84,FRENCH,MULTI_STEP,Facile,LEGACY_BANK
3413,93,84,FRENCH,PROBLEM_SOLVING,Moyen,LEGACY_BANK
3414,93,84,FRENCH,DOCUMENT_ANALYSIS,Difficile,LEGACY_BANK
3415,93,84,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3416,93,84,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3417,93,84,FRENCH,AUTOMATISM,Moyen,LEGACY_BANK
3418,93,84,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3419,93,84,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3420,93,84,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3421,93,84,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3422,93,84,FRENCH,TRANSFER,Facile,LEGACY_BANK
3423,93,84,FRENCH,BREVET_STYLE,Moyen,LEGACY_BANK
3424,93,84,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3425,93,84,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3426,93,84,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3427,93,84,FRENCH,REASONING,Facile,LEGACY_BANK
3428,93,84,FRENCH,OFFICIAL_ARCHIVE,Difficile,LEGACY_BANK
3429,93,84,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3400,93,84,FRENCH,AUTOMATISM,Moyen,LEGACY_BANK
3401,93,84,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3402,93,84,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3403,93,84,FRENCH,MULTI_STEP,Facile,LEGACY_BANK
3404,93,84,FRENCH,PROBLEM_SOLVING,Moyen,LEGACY_BANK
3405,93,84,FRENCH,DOCUMENT_ANALYSIS,Difficile,LEGACY_BANK
3406,93,84,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3407,93,84,FRENCH,REASONING,Facile,LEGACY_BANK
3408,93,84,FRENCH,BREVET_STYLE,Moyen,LEGACY_BANK
3409,93,84,FRENCH,OFFICIAL_ARCHIVE,Difficile,LEGACY_BANK
3454,94,85,FRENCH,OPEN_RESPONSE,Moyen,AI_GENERATED
3455,94,85,FRENCH,DIRECT_APPLICATION,Difficile,AI_GENERATED
3456,94,85,FRENCH,MULTI_STEP,Difficile,AI_GENERATED
3457,94,85,FRENCH,OPEN_RESPONSE,Facile,AI_GENERATED
3458,94,85,FRENCH,DOCUMENT_ANALYSIS,Moyen,AI_GENERATED
3459,94,85,FRENCH,JUSTIFICATION,Difficile,AI_GENERATED
3460,94,85,FRENCH,REASONING,Difficile,AI_GENERATED
3461,94,85,FRENCH,BREVET_STYLE,Facile,AI_GENERATED
3462,94,85,FRENCH,OFFICIAL_ARCHIVE,Moyen,AI_GENERATED
3463,94,85,FRENCH,REMEDIATION,Difficile,AI_GENERATED
3464,94,85,FRENCH,OPEN_RESPONSE,Difficile,AI_GENERATED
3465,94,85,FRENCH,AUTOMATISM,Facile,AI_GENERATED
